"Usuario","CsvInicio","CsvFin","EnSistema","MatchesSistema","MatchesCuentaCompleta","IdSistema","Plataforma","Modalidad","Estado","SistemaInicio","SistemaFin","Problema"
"NAVAJASITURRE","2025-09-05","2026-06-05","SI","1","1","144","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-09-05","2026-06-05","OK"
"Caneltina","2025-08-20","2026-05-21","SI","1","1","198","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-08-20","2026-05-21","OK"
"JoseA75","2025-08-19","2026-05-22","SI","1","1","160","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-08-19","2026-05-22","OK"
"Fjtvgh176","2025-08-05","2026-07-01","SI","1","1","152","Flujo TV (Cuenta Completa)","Cuenta completa","VENCIDO","2025-08-05","2026-03-11","NO ACTIVO EN SISTEMA; FECHA FIN DIFERENTE"
"Oscar2945","2025-07-09","2026-11-08","SI","1","1","256","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2026-04-08","2026-11-08","FECHA INICIO DIFERENTE"
"Fjtvgh174","2025-06-22","2026-05-22","SI","1","1","200","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-06-22","2026-05-22","OK"
"Fjtvgh201","2025-06-11","2026-08-11","SI","1","1","222","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-06-11","2026-08-11","OK"
"Toshi2025","2025-05-10","2026-07-15","SI","1","1","177","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-05-10","2026-07-15","OK"
"Brayan2945","2025-05-10","2026-04-25","SI","1","1","168","Flujo TV (Cuenta Completa)","Cuenta completa","CONTACTAR_2D","2025-05-10","2026-04-25","OK"
"Fjtvgh172","2025-05-03","2026-07-03","SI","1","1","216","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-05-03","2026-07-03","OK"
"Waltru75","2025-04-19","2026-08-20","SI","1","1","224","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-04-19","2026-08-20","OK"
"Gabysil","2025-04-16","2026-06-16","SI","1","1","211","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-04-16","2026-06-16","OK"
"Elbac","2025-03-15","2026-05-15","SI","1","1","193","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2025-03-15","2026-05-15","OK"
